agent,level,rule_count,tier,confidence,rationale_text
Isocyanates,probUnknown,17,BIO,high,"You may have been exposed to chemicals used in some manufacturing such as spray painting or foam production, a leading cause of occupational asthma and a possible carcinogen. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much."
Isocyanates,possUnknown,2,BIO,high,"You may have been exposed to chemicals used in some manufacturing such as spray painting or foam production, a leading cause of occupational asthma and a possible carcinogen. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Latex,probUnknown,5,BIO,high,"You may have been exposed to natural rubber latex, a recognised cause of allergic reactions including occupational asthma. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much."
Latex,possUnknown,1,BIO,high,"You may have been exposed to natural rubber latex, a recognised cause of allergic reactions including occupational asthma. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Lead,probMedium,1250,EST,high,"You may have been exposed to a metal used in some manufacturing, a recognised cause of serious effects on the nervous system, kidneys and reproductive health. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
Lead,probLow,1448,EST,high,"You may have been exposed to a metal used in some manufacturing, a recognised cause of serious effects on the nervous system, kidneys and reproductive health. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Lead,possUnknown,15,EST,high,"You may have been exposed to a metal used in some manufacturing, a recognised cause of serious effects on the nervous system, kidneys and reproductive health. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Leather dust,probMedium,264,EST,medium,"You may have been exposed to dust from leather processing, linked to an increased risk of nasal cancer in some studies. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
Leather dust,probLow,348,EST,medium,"You may have been exposed to dust from leather processing, linked to an increased risk of nasal cancer in some studies. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Leather dust,possUnknown,3,EST,medium,"You may have been exposed to dust from leather processing, linked to an increased risk of nasal cancer in some studies. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Light at night,probMedium,8,PHYS,medium,"You may have been exposed to exposure to light during normal sleeping hours, such as from night shift work, associated with circadian disruption; international health authorities classify shift work involving this as a probable carcinogen. Your answers suggest a moderate-probability signal here. Health effects from this kind of exposure generally depend on cumulative intensity and duration, estimated here from what you told us rather than a direct measurement."
Light at night,probLow,3,PHYS,medium,"You may have been exposed to exposure to light during normal sleeping hours, such as from night shift work, associated with circadian disruption; international health authorities classify shift work involving this as a probable carcinogen. Your answers suggest a low-probability or lower-level exposure. This finding is logged rather than flagged as a concern."
Mercury,probLow,3,EST,high,"You may have been exposed to a metal used in some industrial processes, a recognised cause of serious nervous system effects. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Mercury,possUnknown,1,EST,high,"You may have been exposed to a metal used in some industrial processes, a recognised cause of serious nervous system effects. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Methyl bromide,probMedium,8,EST,medium,"You may have been exposed to a fumigant gas, capable of serious acute toxicity and nervous system effects. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
Methyl bromide,probLow,7,EST,medium,"You may have been exposed to a fumigant gas, capable of serious acute toxicity and nervous system effects. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Methyl bromide,probUnknown,5,EST,medium,"You may have been exposed to a fumigant gas, capable of serious acute toxicity and nervous system effects. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much. If this is a regular part of your job, it may be worth checking with your employer about exposure controls."
Methyl bromide,possUnknown,5,EST,medium,"You may have been exposed to a fumigant gas, capable of serious acute toxicity and nervous system effects. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Methylene chloride,probMedium,13,EST,medium,"You may have been exposed to a solvent used in some manufacturing, classified as a probable human carcinogen. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
Methylene chloride,probLow,9,EST,medium,"You may have been exposed to a solvent used in some manufacturing, classified as a probable human carcinogen. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Mineral Oils,probMedium,760,UNC,medium,"You may have been exposed to petroleum-based oils used in manufacturing; historically linked to skin cancer with prolonged untreated exposure, though modern refined oils carry lower risk and evidence varies by oil type. Your answers suggest a moderate-probability signal for this exposure."
Mineral Oils,probLow,795,UNC,medium,"You may have been exposed to petroleum-based oils used in manufacturing; historically linked to skin cancer with prolonged untreated exposure, though modern refined oils carry lower risk and evidence varies by oil type. Your answers suggest a low-probability or lower-level exposure. This finding is logged rather than flagged as a concern."
Mineral Oils,possUnknown,4,UNC,medium,"You may have been exposed to petroleum-based oils used in manufacturing; historically linked to skin cancer with prolonged untreated exposure, though modern refined oils carry lower risk and evidence varies by oil type. Your answers touched on this, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
MOCA,probMedium,5,EST,medium,"You may have been exposed to a chemical used in some polyurethane manufacturing, classified as a probable human carcinogen. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
MOCA,probLow,1,EST,medium,"You may have been exposed to a chemical used in some polyurethane manufacturing, classified as a probable human carcinogen. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
n-hexane,probMedium,25,EST,high,"You may have been exposed to a solvent used in some manufacturing, a recognised cause of nerve damage with prolonged exposure. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
n-hexane,probLow,104,EST,high,"You may have been exposed to a solvent used in some manufacturing, a recognised cause of nerve damage with prolonged exposure. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
n-hexane,possUnknown,6,EST,high,"You may have been exposed to a solvent used in some manufacturing, a recognised cause of nerve damage with prolonged exposure. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Natural Oils,probMedium,1,UNC,low,You may have been exposed to naturally derived oils used in some processes; evidence on long-term health effects varies by source. Your answers suggest a moderate-probability signal for this exposure.
Nickel,probMedium,720,EST,high,"You may have been exposed to a metal used in some manufacturing such as plating or welding, with some compounds classified as known human carcinogens. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
Nickel,probLow,946,EST,high,"You may have been exposed to a metal used in some manufacturing such as plating or welding, with some compounds classified as known human carcinogens. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Nickel,possUnknown,153,EST,high,"You may have been exposed to a metal used in some manufacturing such as plating or welding, with some compounds classified as known human carcinogens. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Nitrosamines,probMedium,1,EST,medium,"You may have been exposed to chemicals that can form in some industrial processes, classified as probable human carcinogens. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
Nitrosamines,probLow,3,EST,medium,"You may have been exposed to chemicals that can form in some industrial processes, classified as probable human carcinogens. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
noise2,probLow,1,PHYS,high,"You may have been exposed to occupational noise exposure, a recognised cause of hearing damage that depends on volume and duration. Your answers suggest a low-probability or lower-level exposure. This finding is logged rather than flagged as a concern."
noise2,probUnknown,2063,PHYS,high,"You may have been exposed to occupational noise exposure, a recognised cause of hearing damage that depends on volume and duration. Your answers suggest this is likely part of your work, but there wasn't enough detail to estimate the level or duration."
noise2,possUnknown,2,PHYS,high,"You may have been exposed to occupational noise exposure, a recognised cause of hearing damage that depends on volume and duration. Your answers touched on this, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Ocular UV AU,probMedium,174,EST,high,"You may have been exposed to ultraviolet light exposure to the eyes, a recognised cause of eye damage including cataracts. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
Ocular UV AU,probLow,445,EST,high,"You may have been exposed to ultraviolet light exposure to the eyes, a recognised cause of eye damage including cataracts. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Ocular UV EU,probMedium,8245,EST,high,"You may have been exposed to ultraviolet light exposure to the eyes, a recognised cause of eye damage including cataracts. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
Ocular UV EU,probLow,3124,EST,high,"You may have been exposed to ultraviolet light exposure to the eyes, a recognised cause of eye damage including cataracts. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Organochlorines,probMedium,1,EST,medium,"You may have been exposed to a class of chemicals including some older pesticides, several linked to cancer and hormonal effects, though evidence varies by specific compound. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
Organochlorines,probLow,1,EST,medium,"You may have been exposed to a class of chemicals including some older pesticides, several linked to cancer and hormonal effects, though evidence varies by specific compound. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Organochlorines,possUnknown,6,EST,medium,"You may have been exposed to a class of chemicals including some older pesticides, several linked to cancer and hormonal effects, though evidence varies by specific compound. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Organophosphates,probMedium,9,ACUTE,high,"You may have been exposed to a class of pesticides, capable of serious acute nervous system effects. Your answers suggest a moderate-probability signal for this exposure. This substance is capable of serious short-term (acute) effects at high concentrations — the finding here reflects your estimated likelihood of exposure, not a measured level."
Organophosphates,probLow,9,ACUTE,high,"You may have been exposed to a class of pesticides, capable of serious acute nervous system effects. Your answers suggest a low-probability or lower-level exposure. This substance is capable of serious short-term effects at high concentrations, but this finding is logged rather than flagged as an immediate concern."
Organophosphates,probUnknown,1,ACUTE,high,"You may have been exposed to a class of pesticides, capable of serious acute nervous system effects. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much. If this is a regular part of your job, it's worth checking that appropriate controls and ventilation are in place."
Organophosphates,possUnknown,6,ACUTE,high,"You may have been exposed to a class of pesticides, capable of serious acute nervous system effects. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Ortho-toluidine,probMedium,84,EST,medium,"You may have been exposed to a chemical used in some dye and rubber manufacturing, classified as a known human carcinogen. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
Ortho-toluidine,probLow,214,EST,medium,"You may have been exposed to a chemical used in some dye and rubber manufacturing, classified as a known human carcinogen. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Ortho-toluidine,probUnknown,51,EST,medium,"You may have been exposed to a chemical used in some dye and rubber manufacturing, classified as a known human carcinogen. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much. If this is a regular part of your job, it may be worth checking with your employer about exposure controls."
Ortho-toluidine,possUnknown,2,EST,medium,"You may have been exposed to a chemical used in some dye and rubber manufacturing, classified as a known human carcinogen. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Other Herbicides,probUnknown,3,UNC,low,"You may have been exposed to herbicide chemicals; evidence on long-term health effects varies significantly by specific compound. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much."
Other Herbicides,possUnknown,3,UNC,low,"You may have been exposed to herbicide chemicals; evidence on long-term health effects varies significantly by specific compound. Your answers touched on this, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Other PAHs,probMedium,107,EST,high,"You may have been exposed to polycyclic aromatic hydrocarbons formed by combustion, such as in coal, tar or soot, several classified as known or probable human carcinogens. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
Other PAHs,probLow,113,EST,high,"You may have been exposed to polycyclic aromatic hydrocarbons formed by combustion, such as in coal, tar or soot, several classified as known or probable human carcinogens. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Other PAHs,possUnknown,5,EST,high,"You may have been exposed to polycyclic aromatic hydrocarbons formed by combustion, such as in coal, tar or soot, several classified as known or probable human carcinogens. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Other Pesticides,probMedium,1,UNC,low,You may have been exposed to pesticide chemicals; evidence on long-term health effects varies significantly by specific compound. Your answers suggest a moderate-probability signal for this exposure.
Other Pesticides,probLow,7,UNC,low,You may have been exposed to pesticide chemicals; evidence on long-term health effects varies significantly by specific compound. Your answers suggest a low-probability or lower-level exposure. This finding is logged rather than flagged as a concern.
Other Pesticides,probUnknown,10,UNC,low,"You may have been exposed to pesticide chemicals; evidence on long-term health effects varies significantly by specific compound. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much."
Other Pesticides,possUnknown,6,UNC,low,"You may have been exposed to pesticide chemicals; evidence on long-term health effects varies significantly by specific compound. Your answers touched on this, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Other Reactive Chemicals,probMedium,1,IRR,low,"You may have been exposed to reactive chemicals, generally recognised as skin, eye or respiratory irritants. Your answers suggest a moderate-probability signal for this exposure. Effects from this kind of substance are generally related to how concentrated and how frequent the exposure is, rather than a long-term cumulative risk."
Other Reactive Chemicals,probUnknown,76,IRR,low,"You may have been exposed to reactive chemicals, generally recognised as skin, eye or respiratory irritants. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much."
Other Reactive Chemicals,possUnknown,25,IRR,low,"You may have been exposed to reactive chemicals, generally recognised as skin, eye or respiratory irritants. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
p-xylene,probMedium,26,UNC,high,"You may have been exposed to a solvent found in fuels, such as during vehicle refuelling, and some industrial processes; it is not classified as a carcinogen, and evidence on health effects at low, brief exposure levels is still developing. Your answers suggest a moderate-probability signal for this exposure."
p-xylene,probLow,155,UNC,high,"You may have been exposed to a solvent found in fuels, such as during vehicle refuelling, and some industrial processes; it is not classified as a carcinogen, and evidence on health effects at low, brief exposure levels is still developing. Your answers suggest a low-probability or lower-level exposure. This finding is logged rather than flagged as a concern."
p-xylene,possUnknown,6,UNC,high,"You may have been exposed to a solvent found in fuels, such as during vehicle refuelling, and some industrial processes; it is not classified as a carcinogen, and evidence on health effects at low, brief exposure levels is still developing. Your answers touched on this, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
PCBs,probLow,1,EST,high,"You may have been exposed to polychlorinated biphenyls, industrial chemicals now banned in most countries, classified as known human carcinogens. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
PCBs,possUnknown,1,EST,high,"You may have been exposed to polychlorinated biphenyls, industrial chemicals now banned in most countries, classified as known human carcinogens. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Phase shift,probMedium,11,PHYS,medium,"You may have been exposed to circadian disruption from shift work involving changing shift times, classified by international health authorities as a probable carcinogen, alongside other health effects. Your answers suggest a moderate-probability signal here. Health effects from this kind of exposure generally depend on cumulative intensity and duration, estimated here from what you told us rather than a direct measurement."
Phase shift,probLow,3,PHYS,medium,"You may have been exposed to circadian disruption from shift work involving changing shift times, classified by international health authorities as a probable carcinogen, alongside other health effects. Your answers suggest a low-probability or lower-level exposure. This finding is logged rather than flagged as a concern."
Phenoxy Herbicides,probMedium,6,UNC,medium,You may have been exposed to a class of herbicides; evidence on cancer risk is debated and varies by specific compound. Your answers suggest a moderate-probability signal for this exposure.
Phenoxy Herbicides,probLow,6,UNC,medium,You may have been exposed to a class of herbicides; evidence on cancer risk is debated and varies by specific compound. Your answers suggest a low-probability or lower-level exposure. This finding is logged rather than flagged as a concern.
Phenoxy Herbicides,probUnknown,3,UNC,medium,"You may have been exposed to a class of herbicides; evidence on cancer risk is debated and varies by specific compound. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much."
Phenoxy Herbicides,possUnknown,3,UNC,medium,"You may have been exposed to a class of herbicides; evidence on cancer risk is debated and varies by specific compound. Your answers touched on this, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Reactive Dyes,probUnknown,23,BIO,medium,"You may have been exposed to dyes used in textile and other manufacturing, a recognised skin and respiratory sensitiser. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much."
Reactive Dyes,possUnknown,4,BIO,medium,"You may have been exposed to dyes used in textile and other manufacturing, a recognised skin and respiratory sensitiser. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Shiftwork,probMedium,47,PHYS,medium,"You may have been exposed to working outside standard daytime hours, associated with circadian disruption; international health authorities classify shift work as a probable carcinogen, alongside other health effects. Your answers suggest a moderate-probability signal here. Health effects from this kind of exposure generally depend on cumulative intensity and duration, estimated here from what you told us rather than a direct measurement."
Shiftwork,probLow,112,PHYS,medium,"You may have been exposed to working outside standard daytime hours, associated with circadian disruption; international health authorities classify shift work as a probable carcinogen, alongside other health effects. Your answers suggest a low-probability or lower-level exposure. This finding is logged rather than flagged as a concern."
Silica,probMedium,1954,EST,high,"You may have been exposed to crystalline silica dust from cutting, grinding or drilling into materials like concrete, classified as a known human carcinogen and cause of silicosis. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
Silica,probLow,2555,EST,high,"You may have been exposed to crystalline silica dust from cutting, grinding or drilling into materials like concrete, classified as a known human carcinogen and cause of silicosis. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Silica,probUnknown,3,EST,high,"You may have been exposed to crystalline silica dust from cutting, grinding or drilling into materials like concrete, classified as a known human carcinogen and cause of silicosis. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much. If this is a regular part of your job, it may be worth checking with your employer about exposure controls."
Silica,possUnknown,153,EST,high,"You may have been exposed to crystalline silica dust from cutting, grinding or drilling into materials like concrete, classified as a known human carcinogen and cause of silicosis. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Sleep disturbances,probMedium,13,PHYS,medium,"You may have been exposed to disrupted sleep patterns, often linked to shift work, associated with a range of health effects. Your answers suggest a moderate-probability signal here. Health effects from this kind of exposure generally depend on cumulative intensity and duration, estimated here from what you told us rather than a direct measurement."
Sleep disturbances,probLow,9,PHYS,medium,"You may have been exposed to disrupted sleep patterns, often linked to shift work, associated with a range of health effects. Your answers suggest a low-probability or lower-level exposure. This finding is logged rather than flagged as a concern."
Solar UV AU,probMedium,468,EST,high,"You may have been exposed to ultraviolet radiation from sunlight, classified as a known human carcinogen (skin cancer). Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
Solar UV AU,probLow,99,EST,high,"You may have been exposed to ultraviolet radiation from sunlight, classified as a known human carcinogen (skin cancer). Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Solar UV EU,probMedium,2372,EST,high,"You may have been exposed to ultraviolet radiation from sunlight, classified as a known human carcinogen (skin cancer). Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
Solar UV EU,probLow,2332,EST,high,"You may have been exposed to ultraviolet radiation from sunlight, classified as a known human carcinogen (skin cancer). Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Solar UV EU,possUnknown,7173,EST,high,"You may have been exposed to ultraviolet radiation from sunlight, classified as a known human carcinogen (skin cancer). Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Soldering,probUnknown,7,IRR,medium,"You may have been exposed to fumes produced during soldering, such as from flux, a recognised respiratory irritant and, for some flux types, an asthma trigger. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much."
Soldering,possUnknown,2,IRR,medium,"You may have been exposed to fumes produced during soldering, such as from flux, a recognised respiratory irritant and, for some flux types, an asthma trigger. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Styrene,probMedium,110,EST,medium,"You may have been exposed to a chemical used in plastics and resin manufacturing, classified as a possible human carcinogen. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
Styrene,probLow,241,EST,medium,"You may have been exposed to a chemical used in plastics and resin manufacturing, classified as a possible human carcinogen. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Styrene,possUnknown,17,EST,medium,"You may have been exposed to a chemical used in plastics and resin manufacturing, classified as a possible human carcinogen. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Synthetic Oils,probMedium,1,UNC,low,You may have been exposed to synthetic oils used in manufacturing; evidence on long-term health effects varies by formulation. Your answers suggest a moderate-probability signal for this exposure.
Tetrachloroethylene (PERC),probMedium,5,EST,medium,"You may have been exposed to a solvent used in dry cleaning and some manufacturing, classified as a probable human carcinogen. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
Tetrachloroethylene (PERC),probLow,5,EST,medium,"You may have been exposed to a solvent used in dry cleaning and some manufacturing, classified as a probable human carcinogen. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Tetrachloroethylene (PERC),possUnknown,6,EST,medium,"You may have been exposed to a solvent used in dry cleaning and some manufacturing, classified as a probable human carcinogen. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Toluene,probMedium,86,EST,high,"You may have been exposed to a solvent used in some manufacturing, a recognised cause of nervous system effects and, with heavy exposure, reproductive harm. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
Toluene,probLow,133,EST,high,"You may have been exposed to a solvent used in some manufacturing, a recognised cause of nervous system effects and, with heavy exposure, reproductive harm. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Toluene,possUnknown,10,EST,high,"You may have been exposed to a solvent used in some manufacturing, a recognised cause of nervous system effects and, with heavy exposure, reproductive harm. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Trichloroethylene,probMedium,326,EST,high,"You may have been exposed to a solvent used in some manufacturing such as degreasing, classified as a known human carcinogen. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
Trichloroethylene,probLow,260,EST,high,"You may have been exposed to a solvent used in some manufacturing such as degreasing, classified as a known human carcinogen. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Trichloroethylene,possUnknown,5,EST,high,"You may have been exposed to a solvent used in some manufacturing such as degreasing, classified as a known human carcinogen. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Vibration,probMedium,1,PHYS,high,"You may have been exposed to hand-arm or whole-body vibration, a recognised cause of nerve and circulation damage that depends on intensity and duration. Your answers suggest a moderate-probability signal here. Health effects from this kind of exposure generally depend on cumulative intensity and duration, estimated here from what you told us rather than a direct measurement."
Vibration,probUnknown,480,PHYS,high,"You may have been exposed to hand-arm or whole-body vibration, a recognised cause of nerve and circulation damage that depends on intensity and duration. Your answers suggest this is likely part of your work, but there wasn't enough detail to estimate the level or duration."
Vinyl chloride,probMedium,2,EST,high,"You may have been exposed to a chemical used in plastics manufacturing (PVC), classified as a known human carcinogen. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
Vinyl chloride,probLow,2,EST,high,"You may have been exposed to a chemical used in plastics manufacturing (PVC), classified as a known human carcinogen. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Vinyl chloride,possUnknown,1,EST,high,"You may have been exposed to a chemical used in plastics manufacturing (PVC), classified as a known human carcinogen. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Welding fumes,probMedium,42,EST,high,"You may have been exposed to fumes produced during welding, classified as a known human carcinogen. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
Welding fumes,probLow,41,EST,high,"You may have been exposed to fumes produced during welding, classified as a known human carcinogen. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Wood Dust,probMedium,633,EST,high,"You may have been exposed to dust from wood processing, classified as a known human carcinogen, particularly from hardwoods. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
Wood Dust,probLow,884,EST,high,"You may have been exposed to dust from wood processing, classified as a known human carcinogen, particularly from hardwoods. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Wood Dust,probUnknown,54,EST,high,"You may have been exposed to dust from wood processing, classified as a known human carcinogen, particularly from hardwoods. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much. If this is a regular part of your job, it may be worth checking with your employer about exposure controls."
Wood Dust,possUnknown,96,EST,high,"You may have been exposed to dust from wood processing, classified as a known human carcinogen, particularly from hardwoods. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
